problem_no,sub_id,stem,correct,explanation
101-24-1,1,"意思表示の相手方がその意思表示を受けた時に未成年者であった場合、その相手方が法定代理人の同意を得ていなくても、表意者はその意思表示をもって相手方に対抗することができる。",FALSE,"相手方が未成年者などの制限行為能力者である場合、表意者は原則としてその意思表示の効力を主張（対抗）できません。ただし、その法定代理人が意思表示を知った後は、対抗することが可能になります（民法第98条の2）。"
101-24-1,2,"AがBに甲土地を売却する意思表示をしたが、その意思表示がAの真意ではないことをAが知っていた場合（心裡留保）、BがAの真意を知っていたか否かにかかわらず、その意思表示は有効である。",FALSE,"心裡留保による意思表示は、原則として有効ですが、相手方Bが表意者Aの真意を知っていた（悪意）または知ることができた（有過失）ときは、その意思表示は無効となります（民法第93条）。"
101-24-1,3,"AがBとの間で、A所有の甲土地について売買契約を仮装して締結した場合、当該売買契約は無効であるが、Aは、善意の第三者に対して、その無効を主張することができない。",TRUE,"はい、これが通謀虚偽表示のルールです。当事者間では無効ですが、その無効を、事情を知らない善意の第三者に対抗（主張）することはできません（民法第94条第2項）。"
101-24-1,4,"AがBの強迫によりCにA所有の甲土地を売却する意思表示をした場合、Bが強迫したことをCが知っていたか否かにかかわらず、Aは当該意思表示を取り消すことができない。",FALSE,"第三者による強迫の場合、相手方Cがその事実を知っていたか（悪意）または知らなかったか（善意）にかかわらず、Aは常にその意思表示を取り消すことができます（民法第96条第2項）。詐欺の場合と結論が異なるので注意が必要です。"
101-24-2,1,"AがBに甲土地を売却する契約において、目的物である甲土地が契約締結前に既に滅失していた場合、AはBに対して履行請求も損害賠償請求もできない。",TRUE,"はい、これは原始的不能といわれる状態で、契約はその効力を生じません。したがって、売主Aは買主Bに対して代金の支払いを請求することも、履行ができないことによる損害賠償を請求することもできません（民法第412条の2）。"
101-24-2,2,"AがBに甲土地を売却する契約において、買主Bの過失によって目的物である甲土地が滅失した場合、売主AはBに対して売買代金の支払いを請求することができる。",TRUE,"その通りです。買主の責任で目的物が滅失した場合（危険負担における債権者主義）、売主は自己の義務（土地の引渡し）を免れますが、反対給付を受ける権利（代金請求権）は失いません（民法第536条第2項）。"
101-24-2,3,"AがBに甲土地を売却する契約において、Aの履行がBの協力なしには完了できない場合において、Bが協力を拒んでいる間に天災で甲土地が滅失した場合、AはBに代金を請求できる。",TRUE,"はい、これは買主（債権者）の受領遅滞中の危険負担です。Bが協力しないことで履行が遅れている間に不可抗力で目的物が滅失した場合、そのリスクはBが負うことになり、売主Aは代金支払いを請求できます。"
101-24-2,4,"AがBに甲土地を売却する契約で、引渡しは完了したが代金が未払いの状況で、Aが契約を解除した場合、Bは原状回復として甲土地をAに返還する義務と、引渡しを受けてから返還するまでの間の使用利益を返還する義務を負う。",TRUE,"はい、契約が解除された場合、当事者双方に原状回復義務が生じます。買主Bは、土地そのものを返還するだけでなく、引渡しを受けてから返還するまでの間にその土地を利用して得た利益（賃料相当額など）も返還する必要があります（民法第545条）。"
101-24-3,1,"制限行為能力者であるAが、自己が所有する甲土地を、法定代理人の同意を得ることなくBに売却する契約を締結した。Aが成年に達した後に、Bに対して履行を請求した場合、この売買契約を追認したものとみなされる。",TRUE,"その通りです。未成年者など制限行為能力者の契約は取り消すことができますが、成年に達した後に、自ら「履行を請求する（代金を払えと要求するなど）」行為をすると、法律上、その契約を認めた（追認した）と見なされます（法定追認、民法第125条）。"
101-24-3,2,"AはBに騙されて甲土地の売買契約を締結してしまった。Aが詐欺に気づいた後、Bの売買代金債権をCが差し押さえた場合、Aはこの売買契約を取り消すことができない。",FALSE,"詐欺による契約は取り消すことができます。たとえ第三者（この場合は差押債権者C）が現れたとしても、Aの取消権はなくなりません。Aは詐欺を理由に契約を取り消し、Cの差押えを無効にすることができます。"
101-24-3,3,"AとBが通謀して、A所有の甲土地をBに仮装譲渡した後、事情を知らない（善意の）CがBから甲土地を購入した。この場合、AはAB間の売買契約の無効をCに対して主張することができない。",TRUE,"はい、これが通謀虚偽表示の基本ルールです。当事者間（AとB）では売買は無効ですが、その無効を、事情を知らずに取引に入った善意の第三者Cに対抗（主張）することはできません（民法第94条第2項）。"
101-24-3,4,"A所有の甲土地について、Aの代理人と称する無権代理人Bが、Cと売買契約を締結した。その後、Aが死亡し、Bが単独でAを相続した場合、Bは無権代理行為の追認を拒絶することができる。",FALSE,"無権代理人が本人を相続した場合、信義則上、自らが行った無権代理行為の追認を拒絶することはできません。Bは買主Cに対して、所有権移転登記を行う義務を負います。"
101-24-4,1,"AがBに対して有する貸金債権の消滅時効が完成した場合、Aの債権は、Bが時効を援用しなくても当然に消滅する。",FALSE,"時効が完成しただけでは債権は消滅しません。「時効を援用する（時効が完成したことを主張する）」という意思表示があって初めて、債権が消滅する効果が生じます。"
101-24-4,2,"AがBに対して有する貸金債権について、Bが消滅時効の完成後に、Aに対して債務の存在を承認した場合、時効の利益を放棄したものと推定される。",TRUE,"はい、時効完成後に債務の承認をすると、時効の利益を放棄したものと推定されます。これにより、Bは完成した時効を援用することができなくなります。"
101-24-4,3,"AがBに対して有する請負代金債権の消滅時効は、Aがその権利を行使することができる時から5年である。",FALSE,"請負代金債権の消滅時効は、権利を行使できることを知った時から5年、または権利を行使できる時から10年のいずれか早い方です。単に5年と断定しているため誤りです。"
101-24-4,4,"AがBに対して有する不法行為に基づく損害賠償請求権の消滅時効は、被害者Aが損害及び加害者Bを知った時から5年である。",FALSE,"不法行為に基づく損害賠償請求権の消滅時効は、人の生命・身体の侵害に対するものは5年ですが、それ以外（物損など）の場合は3年です。設問は限定がないため誤りです。"
101-24-5,1,"Aが所有する甲土地について、Bが所有の意思をもって平穏に、かつ、公然と占有を開始し、15年間占有を継続した。占有開始時に善意無過失であれば、Bは甲土地の所有権を時効取得できる。",TRUE,"はい、占有開始時に善意無過失であれば、10年間の占有継続で所有権を時効取得できます（短期取得時効）。設問は15年間継続しているので、要件を満たします。"
101-24-5,2,"Aが所有する甲土地について、Bが所有の意思をもって平穏に、かつ、公然と占有を開始し、25年間占有を継続した。占有開始時に悪意であっても、Bは甲土地の所有権を時効取得できる。",TRUE,"はい、占有開始時に悪意（他人の土地と知っている）であっても、20年間の占유を継続すれば所有権を時効取得できます（長期取得時効）。設問は25年間継続しているので、要件を満たします。"
101-24-5,3,"BがAから甲土地を賃借して占有している場合、Bは所有の意思をもって占有しているとはいえないため、甲土地の所有権を時効取得することはない。",TRUE,"その通りです。時効取得の要件である「所有の意思をもってする占有（自主占有）」とは、所有者のように振る舞う意思を指します。賃借人は、あくまで借りているという認識（他主占有）なので、時効取得は成立しません。"
101-24-5,4,"Aが所有する甲土地の所有権をBが時効取得した場合、Bは、時効の完成前にAから甲土地を譲り受けて所有権移転登記を備えたCに対し、登記なくして所有権を対抗することができる。",TRUE,"時効完成「前」の第三者との関係は、当事者と同様の関係になります。したがって、時効取得者Bは、先に登記を備えていたCに対して、登記なくして所有権を主張できます。時効完成「後」の第三者とは結論が異なるので注意が必要です。"
101-24-6,1,"A、B、Cが各3分の1の持分で甲土地を共有している。Aがその持分を放棄した場合、その持分はBとCに各2分の1の割合で帰属する。",TRUE,"はい、共有者の一人が持分を放棄したとき、または死亡して相続人がいないときは、その持分は他の共有者に帰属します。この場合、BとCが持分に応じて取得するため、均等に分け合います（民法第255条）。"
101-24-6,2,"A、B、Cが各3分の1の持分で甲土地を共有している。甲土地全体をDに賃貸する行為は、各共有者が単独で行うことができる。",FALSE,"共有物を賃貸するなどの「管理行為」は、各共有者の持分の価格に従い、その過半数で決定する必要があります（民法第252条）。単独では行えません。"
101-24-6,3,"A、B、Cが各3分の1の持分で甲土地を共有している。AがB及びCの同意を得ずに自己の持分のみをEに売却した場合、その売買契約は無効である。",FALSE,"各共有者は、他の共有者の同意がなくても、自己の持分を自由に処分（売却、担保設定など）することができます（民法第251条）。したがって、AE間の売買契約は有効です。"
101-24-6,4,"A、B、Cが各3分の1の持分で甲土地を共有している。甲土地を3筆に分筆する行為は、共有物の保存行為としてAが単独で行うことができる。",FALSE,"共有物を物理的に分割する「分筆」は、共有者全員の同意が必要な「変更行為」にあたります（民法第251条）。単独で行える保存行為（修繕など）ではありません。"
101-24-7,1,"相隣関係に関する民法の規定によれば、土地の所有者は、境界において障壁を設置する場合、隣人と共同の費用で設置することができる。",TRUE,"はい、境界標や囲障（塀など）は、相隣者（隣人）が共同の費用で設置できると定められています。費用の負担割合は、原則として折半です（民法第225条、第226条）。"
101-24-7,2,"相隣関係に関する民法の規定によれば、隣地の竹木の枝が境界線を越えるときは、その土地の所有者は、竹木の所有者に催告することなく、自らその枝を切り取ることができる。",FALSE,"枝が越境した場合は、まず竹木の所有者に切除するよう催告する必要があります。催告しても切除しない場合や、催告できない場合に限り、自ら切り取ることができます（2023年4月改正民法）。根が越境した場合は、催告なく切り取れます。"
101-24-7,3,"相隣関係に関する民法の規定によれば、建物を築造するには、境界線から50cm以上の距離を保たなければならないが、これに違反して建築しようとする者があるときは、隣地の所有者は、建築を中止させ、又は変更させることができる。ただし、建築に着手した時から1年を経過し、又はその建物が完成した後は、損害賠償の請求のみをすることができる。",TRUE,"はい、これが境界線付近の建築の制限に関するルールです。建築の中止・変更請求には期間制限があり、それを過ぎると損害賠償請求しかできなくなります（民法第234条、第235条）。"
101-24-7,4,"他の土地に囲まれて公道に通じない土地（袋地）の所有者は、公道に至るため、その土地を囲んでいる他の土地（囲繞地）を通行することができる。この場合、通行の場所及び方法は、通行権を有する者のために必要であり、かつ、囲繞地のために損害が最も少ないものを選ばなければならない。",TRUE,"はい、これは囲繞地通行権の基本的な内容です。袋地の所有者は通行権を有しますが、それは無制限ではなく、囲繞地の所有者の損害が最も少なくなるように配慮する必要があります（民法第210条、第211条）。"
101-24-8,1,"抵当権の効力は、抵当不動産に付加して一体となっている物（付加一体物）に及ぶが、抵当権設定当時に存在した建物に後から増築された部分は、抵当権の効力が及ばない。",FALSE,"増築部分は、元の建物と一体（付加一体物）とみなされるため、抵当権の効力が及びます。したがって、競売になった場合、増築部分も一体として売却されます。"
101-24-8,2,"土地に抵当権が設定された後に、その土地の上に建物が築造された場合、抵当権者は、土地とともにその建物を競売することができる。",TRUE,"はい、これは「法定地上権」が成立しないケースでの一括競売の規定です。抵当権者は土地のみを競売することも、土地と建物を一括して競売することも選択できます。ただし、建物の売却代金から優先弁済を受けることはできません（民法第389条）。"
101-24-8,3,"抵当不動産の所有者が、その不動産を第三者に賃貸した場合、抵当権の実行としての競売手続の開始前からその第三者が建物の引渡しを受けていれば、抵当権者はその第三者に対抗することができない。",FALSE,"建物の引渡しを受けている賃借人は、原則として抵当権者に対抗できます。ただし、抵当権設定登記後に賃貸借契約が結ばれ、抵当権者がそれに同意していない場合は、競売による買受人に対抗できません。一定の猶予期間（6か月）の明渡し猶予はあります。"
101-24-8,4,"抵当権によって担保される債権（被担保債権）が時効によって消滅した場合、抵当権も消滅する。",TRUE,"はい、これを抵当権の「付従性」といいます。抵当権は、主たる権利である被担保債権が存在して初めて成り立つ従たる権利なので、被担保債権が消滅すれば、抵当権も当然に消滅します。"
101-24-9,1,"Aが所有する甲建物をBに賃貸する契約において、BがAの承諾なく甲建物をCに転貸した場合、Aは直ちに賃貸借契約を解除することができる。",TRUE,"はい、賃借人が賃貸人の承諾なく無断で転貸した場合、それは賃貸人に対する重大な背信行為とみなされ、賃貸人は催告をすることなく契約を解除することができます（無催告解除）。"
101-24-9,2,"賃借人Bが死亡した場合、Bに相続人がいなくても、Bと同居していた内縁の配偶者Cは、当然に賃借権を承継する。",FALSE,"借地借家法では、相続人がいない場合に限り、同居していた内縁の配偶者や事実上の養子が賃借権を承継できると定めています（借地借家法第36条）。相続人がいる場合は、その相続人が賃借権を承継します。"
101-24-9,3,"賃貸人Aが甲建物をDに売却した場合、賃借人Bは、建物の引渡しを受けていれば、所有権移転登記を備えた新所有者Dに対して賃借権を対抗することができない。",FALSE,"建物の賃貸借は、登記がなくても「建物の引渡し」があれば、その後その建物の所有権を取得した第三者に対して、賃借権を対抗（主張）することができます（借地借家法第31条）。"
101-24-9,4,"期間の定めのある建物賃貸借契約において、賃貸人Aが期間満了の1年前から6か月前までの間に更新をしない旨の通知をしなかった場合、契約は当然に終了する。",FALSE,"更新拒絶の通知をしなかった場合、従前の契約と同一の条件で契約を更新したものとみなされます（法定更新）。ただし、更新後の契約は期間の定めのないものとなります（借地借家法第26条）。"
101-24-10,1,"契約期間を2年とする普通建物賃貸借契約において、賃借人からの中途解約を認める特約は有効である。",TRUE,"はい、借地借家法は基本的に借主を保護する法律です。借主側からの中途解約を認める特約は、借主に有利なものなので有効です。逆に、貸主からの中途解約を認める特約は、借主に不利なため原則として無効となります。"
101-24-10,2,"事業用建物を対象とし、契約期間を2年とする定期建物賃貸借契約を締結する場合、公正証書によって契約しなければならない。",FALSE,"事業用の定期建物賃貸借契約は、公正証書「等」の書面によって契約する必要があります。必ずしも公正証書である必要はなく、通常の契約書でも有効です。公正証書が必須なのは、事業用定期「借地権」の設定契約です。"
101-24-10,3,"居住用建物を対象とする定期建物賃貸借契約では、賃貸人は、あらかじめ、賃借人に対し、契約の更新がなく期間の満了により終了する旨を記載した書面を交付して説明しなければならない。",TRUE,"はい、これが定期建物賃貸借契約の最も重要な要件です。この書面交付と説明を怠ると、その契約は普通建物賃貸借契約となってしまい、期間満了での終了を主張できなくなります（借地借家法第38条）。"
101-24-10,4,"床面積が150㎡の居住用建物の定期建物賃貸借契約において、転勤により建物の使用が困難となった場合、賃借人は中途解約の申入れをすることができる。",FALSE,"定期建物賃貸借における賃借人からの中途解約が法律上認められるのは、「居住用」で「床面積200㎡未満」の建物について、転勤・療養・親族の介護などやむを得ない事情がある場合に限られます。設問は床面積の要件を満たしているので解約可能です。"
101-24-11,1,"区分所有法によれば、区分所有者は、規約に別段の定めがない限り、集会の決議によって、管理者を選任し、又は解任することができる。",TRUE,"はい、管理者は、原則として、区分所有者及び議決権の各過半数による集会の決議で選任・解任されます。規約で別段の定めをすることも可能です。"
101-24-11,2,"区分所有法によれば、集会において、区分所有者及び議決権の各5分の4以上の多数による建替え決議があったときは、当該決議に賛成しなかった区分所有者も、当該決議に従う義務がある。",FALSE,"建替え決議に賛成しなかった区分所有者は、決議に従う義務はありません。ただし、建替えに参加しない場合は、決議に賛成した区分所有者等が、その区分所有権および敷地利用権を時価で売り渡すよう請求することができます（売渡し請求権）。"
101-24-11,3,"区分所有法によれば、管理者は、少なくとも毎年1回集会を招集しなければならないが、区分所有者全員の同意があるときは、集会を招集しないで書面又は電磁的方法による決議をすることができる。",TRUE,"その通りです。管理者は毎年1回の定期集会を招集する義務がありますが、全員の同意があれば、集会を開かずに書面投票等で決議することも認められています（書面決議）。"
101-24-11,4,"区分所有法によれば、共用部分の変更（その形状又は効用の著しい変更を伴わないものを除く。）は、区分所有者及び議決権の各4分の3以上の多数による集会の決議で決するが、この区分所有者の定数は、規約で過半数まで減ずることができる。",TRUE,"はい、大規模修繕などの「特別決議」は、原則として区分所有者・議決権の各4分の3以上が必要です。ただし、この「区分所有者の頭数」については、規約で過半数まで緩和することが認められています（議決権の4分の3以上は緩和不可）。"
101-24-12,1,"AはBから借り受けた甲土地の上に乙建物を所有し、Cに対して乙建物を賃貸している。Bの承諾の有無にかかわらず、AはCに対して甲土地の地代を請求することができない。",TRUE,"はい、土地の賃貸借契約は土地所有者Bと借地人Aとの間のものです。AはCから建物の賃料は受け取れますが、土地の所有者ではないため、Cに対して地代を請求することはできません。"
101-24-12,2,"AはBから借り受けた甲土地の上に乙建物を所有している。AがBの承諾を得て甲土地をCに転貸した場合、AはBに対して地代を支払う義務を免れる。",FALSE,"転貸借（又貸し）は、元の賃貸借契約（AB間）を前提として成立します。したがって、Aは転貸人としてCから転貸料を受け取る一方、元の借地人としてBに地代を支払う義務を負い続けます。"
101-24-12,3,"AはBから借り受けた甲土地の上に乙建物を所有している。AがBの承諾なく乙建物をCに譲渡した場合、特段の事情がない限り、Bは借地権の無断譲渡を理由に賃貸借契約を解除することができる。",TRUE,"はい、建物の譲渡は、その敷地である借地権の譲渡を伴います。借地権の譲渡には賃貸人（地主）の承諾が必要であり、無断で譲渡した場合は、信頼関係を破壊する行為として契約を解除されるのが原則です。"
101-24-12,4,"AはBから借り受けた甲土地の上に乙建物を所有している。AがBに無断で甲土地をCに転貸し、Bがこれを理由に契約を解除した場合、CはBに対して建物を時価で買い取るよう請求することはできない。",TRUE,"建物買取請求権は、借地契約が期間満了で終了し、更新がない場合に借地人が地主に対して行使できる権利です。借地人の債務不履行（無断転貸など）を理由に契約が解除された場合には、建物買取請求権は認められません。"
101-24-13,1,"不法行為による損害賠償の請求権は、被害者が損害及び加害者を知った時から3年間行使しないときは、時効によって消滅する。不法行為の時から20年を経過したときも、同様とする。",TRUE,"はい、これが不法行為に基づく損害賠償請求権の消滅時効の原則です（生命・身体の侵害の場合は主観的起算点から5年）。"
101-24-13,2,"土地の工作物の設置又は保存に瑕疵があることによって他人に損害を生じたときは、その工作物の占有者は、被害者に対してその損害を賠償する責任を負う。ただし、占有者が損害の発生を防止するのに必要な注意をしたときは、所有者がその損害を賠償しなければならない。",TRUE,"はい、これが工作物責任の条文通りの内容です。第一次的には占有者が責任を負い（過失責任）、占有者が無過失を証明できた場合に、所有者が無過失でも責任を負います（無過失責任）。"
101-24-13,3,"注文者の注文によって請負人が建てた建物に瑕疵があり、それによって第三者に損害を与えた場合、注文者は、その損害の賠償を第三者に負う。ただし、注文者が請負人に対して適切な指示をしていた場合は、請負人が責任を負う。",FALSE,"原則として、建物の瑕疵による第三者への損害は、その建物の所有者（注文者）が工作物責任を負います。請負人は、注文または指図に過失があった場合にのみ、責任を負うことになります。"
101-24-13,4,"数人が共同の不法行為によって他人に損害を加えたときは、各共同不法行為者は、連帯してその損害を賠償する責任を負う。",TRUE,"はい、共同不法行為者（例えば、複数人が関与した交通事故など）は、被害者に対して「連帯して」全額の賠償責任を負います。被害者は、どの加害者に対しても損害の全額を請求することができます（不真正連帯債務）。"
101-24-14,1,"相続の承認及び放棄は、相続人が自己のために相続の開始があったことを知った時から3か月以内にしなければならない。",TRUE,"はい、これが相続の承認・放棄の熟慮期間です。この期間内に、単純承認、限定承認、相続放棄のいずれかを選択する必要があります。家庭裁判所に申し出ることで、期間の伸長も可能です。"
101-24-14,2,"被相続人の配偶者は、常に相続人となる。被相続人の子がいる場合、被相続人の直系尊属（父母など）は相続人とはならない。",TRUE,"その通りです。配偶者は常に相続人となり、相続順位は第1順位が子、第2順位が直系尊属、第3順位が兄弟姉妹です。上位の順位の相続人がいる場合、下位の順位の者は相続人になりません。"
101-24-14,3,"被相続人の子Aが相続開始以前に死亡しており、Aに子B（被相続人の孫）がいる場合、BがAの相続分を代襲して相続する。",TRUE,"はい、これを代襲相続といいます。本来相続人となるべき子が先に死亡している場合、その子（被相続人から見て孫）が代わりに相続人となります。"
101-24-14,4,"遺言は、15歳に達した者であれば、法定代理人の同意がなくても、単独ですることができる。",TRUE,"はい、遺言能力は15歳以上と定められています。意思能力があれば、未成年者であっても有効な遺言を単独で行うことができます（民法第961条）。"
102-24-15,1,"都市計画区域内の農地を、住宅を建設する目的で取得する場合、あらかじめ農業委員会に届出をすれば、農地法第5条の許可を受ける必要はない。",FALSE,"市街化区域内の農地を転用目的で取得する場合は、農業委員会への「届出」で足ります。しかし、市街化調整区域などそれ以外の区域では、原則通り都道府県知事等の「許可」が必要です。設問は「都市計画区域内」としか限定していないため、許可が不要とは限りません。"
102-24-15,2,"農地の所有者は、その農地を駐車場として利用する場合、農地法第4条の許可を受ける必要はない。",FALSE,"自己所有の農地を農地以外のもの（駐車場、宅地など）に転用する場合でも、農地法第4条に基づく都道府県知事等の許可が必要です。これを無許可で行うと、原状回復命令や罰則の対象となります。"
102-24-15,3,"砂利採取法による認可を受けた採取計画に従って砂利を採取するために農地を取得する場合、農地法第5条の許可は不要である。",FALSE,"たとえ他の法律で認可を受けていても、農地を転用目的で取得（権利移動）する場合には、原則として農地法第5条の許可が必要です。農地法の許可が不要となる例外規定には該当しません。"
102-24-15,4,"相続により農地の所有権を取得した者は、遅滞なく、その農地の存する市町村の農業委員会にその旨を届け出なければならない。",TRUE,"はい、その通りです。相続は許可を必要としませんが、農地の権利関係を把握するため、農業委員会への事後届出が義務付けられています。"
102-24-16,1,"市街化区域内において、面積1,500㎡の土地で図書館を建築する目的の開発行為を行う場合、開発許可は不要である。",TRUE,"はい、図書館、博物館、公民館などの公益上必要な建築物のうち、開発区域の面積が1ha未満のものは、開発許可が不要とされています。面積が1,500㎡なので許可は不要です。"
102-24-16,2,"市街化調整区域内において、農産物の貯蔵に必要な倉庫を建築する目的で面積800㎡の開発行為を行う場合、開発許可は不要である。",TRUE,"市街化調整区域内であっても、農業、林業、漁業を営む者の居住用または業務用建築物（倉庫など）のための開発行為は、規模にかかわらず原則として開発許可が不要です。"
102-24-16,3,"市街化区域及び市街化調整区域のいずれでもない都市計画区域（非線引区域）において、野球場を建設する目的で面積12,000㎡の開発行為を行う場合、開発許可が必要である。",TRUE,"野球場、テニス場、遊園地などの「特定工作物」の建設目的の開発行為は、1ha（10,000㎡）以上の場合に開発許可が必要です。面積が12,000㎡なので許可が必要です。"
102-24-16,4,"準都市計画区域内において、木造2階建ての住宅を1戸建築する目的で面積3,500㎡の開発行為を行う場合、開発許可が必要である。",TRUE,"準都市計画区域内における開発許可の面積要件は、原則として3,000㎡以上です。したがって、面積3,500㎡の土地で住宅を建築する開発行為には許可が必要です。"
